№,Секунда,Микросекунда
1,38,698463
2,38,708559
3,38,718967
4,38,729966
5,38,740966
6,38,751967
7,38,762966
8,38,773966
9,38,784966
10,38,796005
11,38,806966
12,38,817969
13,38,828967
14,38,839967
15,38,850965
16,38,861968
17,38,872965
18,38,883966
19,38,894967
20,38,905355
21,38,916365
22,38,926401
23,38,937407
24,38,948412
25,38,959418
26,38,970419
27,38,980453
28,38,991466
29,39,1697
30,39,11963
31,39,23224
32,39,33601
33,39,43942
34,39,54330
35,39,64658
36,39,74943
37,39,85223
38,39,95392
39,39,106355
40,39,116630
41,39,126679
42,39,137385
43,39,147420
44,39,157972
45,39,168205
46,39,178219
47,39,188385
48,39,199392
49,39,210396
50,39,220414
51,39,230442
52,39,241410
53,39,251435
54,39,262223
55,39,273224
56,39,283731
57,39,294734
58,39,305269
59,39,315893
60,39,326893
61,39,337897
62,39,348897
63,39,359628
64,39,370631
65,39,381633
66,39,391870
67,39,402517
68,39,413528
69,39,424537
70,39,434578
71,39,445132
72,39,455610
73,39,465794
74,39,476370
75,39,486387
76,39,496412
77,39,507428
78,39,517667
79,39,528671
80,39,539677
81,39,549919
82,39,560934
83,39,571940
84,39,582946
85,39,593953
86,39,604968
87,39,615189
88,39,626001
89,39,636964
90,39,647958
91,39,658372
92,39,668965
93,39,679967
94,39,690964
95,39,701967
96,39,712969
97,39,723972
98,39,734528
99,39,745051
100,39,755574
101,39,766571
102,39,777574
103,39,788576
104,39,799578
105,39,810581
106,39,821583
107,39,832586
108,39,843589
109,39,854468
110,39,864965
111,39,875535
112,39,886001
113,39,896361
114,39,907366
115,39,917964
116,39,928965
117,39,939964
118,39,949997
119,39,960621
120,39,971270
121,39,981302
122,39,991324
123,40,1350
124,40,11576
125,40,21984
126,40,32584
127,40,43584
128,40,54387
129,40,65399
130,40,76399
131,40,87397
132,40,98402
133,40,109109
134,40,119126
135,40,129513
136,40,140518
137,40,150875
138,40,160905
139,40,170922
140,40,181517
141,40,192369
142,40,203370
143,40,214406
144,40,224951
145,40,235461
146,40,245955
147,40,256465
148,40,266504
149,40,276530
150,40,286630
151,40,296667
152,40,306699
153,40,317683
154,40,327906
155,40,338095
156,40,348397
157,40,358580
158,40,368828
159,40,379843
160,40,389882
161,40,400377
162,40,411383
163,40,422388
164,40,432966
165,40,443468
166,40,453504
167,40,463965
168,40,474483
169,40,484905
170,40,495350
171,40,505397
172,40,516400
173,40,526442
174,40,537417
175,40,548349
176,40,559351
177,40,569369
178,40,579653
179,40,590660
180,40,601660
181,40,611680
182,40,621705
183,40,632711
184,40,642730
185,40,652750
186,40,663756
187,40,674763
188,40,684855
189,40,695216
190,40,705372
191,40,715779
192,40,726785
193,40,737255
194,40,747964
195,40,758637
196,40,768963
197,40,779965
198,40,790964
199,40,801964
200,40,812962
201,40,823963
202,40,834963
203,40,845999
204,40,856964
205,40,867963
206,40,878965
207,40,889968
208,40,900971
209,40,911973
210,40,922963
211,40,933963
212,40,944964
213,40,955641
214,40,966001
215,40,976999
216,40,988001
217,40,999004
218,41,9963
219,41,20962
220,41,31962
221,41,42962
222,41,53963
223,41,64963
224,41,75537
225,41,86008
226,41,96338
227,41,107346
228,41,118340
229,41,128759
230,41,139373
231,41,149411
232,41,160351
233,41,170962
234,41,181962
235,41,192962
236,41,203962
237,41,214963
238,41,225627
239,41,236000
240,41,246963
241,41,257962
242,41,268964
243,41,279962
244,41,290964
245,41,301962
246,41,312963
247,41,323965
248,41,334963
249,41,345999
250,41,356964
251,41,367962
252,41,378962
253,41,389962
254,41,400963
255,41,411961
256,41,422710
257,41,432739
258,41,442770
259,41,452812
260,41,463778
261,41,473813
262,41,484745
263,41,495269
264,41,505404
265,41,515784
266,41,526763
267,41,536786
268,41,546804
269,41,557809
270,41,568812
271,41,578962
272,41,589962
273,41,600961
274,41,611961
275,41,622963
276,41,633961
277,41,644961
278,41,656000
279,41,666962
280,41,677962
281,41,688961
282,41,699961
283,41,710961
284,41,721962
285,41,732962
286,41,743961
287,41,754961
288,41,765999
289,41,776961
290,41,787961
291,41,798964
292,41,809323
293,41,819963
294,41,830963
295,41,841327
296,41,852328
297,41,862348
298,41,873353
299,41,883374
300,41,893391
